 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 __init__.py:112(_weak_or_strong_ref)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
        7    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        2    0.000    0.000    0.000    0.000 __init__.py:1237(setLoggerClass)
        2    0.000    0.000    0.000    0.000 __init__.py:1250(getLoggerClass)
       37    0.000    0.000    0.004    0.000 __init__.py:1252(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1267(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1272(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(Popen)
       35    0.000    0.000    0.001    0.000 __init__.py:1280(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(<dictcomp>)
       72    0.001    0.000    0.007    0.000 __init__.py:1287(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
      280    0.001    0.000    0.001    0.000 __init__.py:1312(is_math_text)
      486    0.000    0.000    0.001    0.000 __init__.py:1325(_to_unmasked_float_array)
      166    0.001    0.000    0.001    0.000 __init__.py:133(check_shape)
       32    0.000    0.000    0.000    0.000 __init__.py:1331(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:135(base_constants_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1355(_fixupChildren)
